record_id,domain,material_or_topic,mechanism,state_layer,evidence_type,source_title,source_url,notes,curation_status
LIT0001,extracellular_vesicles,EV minimal reporting,standardization,EV integrity and characterization,consensus guideline,Minimal information for studies of extracellular vesicles 2018 / MISEV2018,https://onlinelibrary.wiley.com/journal/20013078,Use as EV reporting and characterization standard; storage-specific details need full-text extraction,seed_needs_fulltext
LIT0002,extracellular_vesicles,EV minimal reporting,standardization,EV integrity and characterization,consensus guideline,Minimal information for studies of extracellular vesicles MISEV2023,https://onlinelibrary.wiley.com/journal/20013078,Use as updated EV standardization reference; extract storage and characterization fields,seed_needs_fulltext
LIT0003,extracellular_vesicles,trehalose,membrane_protection;lyoprotection,EV membrane integrity,experimental/literature seed,Extracellular vesicle lyophilization and trehalose-related storage literature,https://www.google.com/search?q=extracellular+vesicle+lyophilization+trehalose,Placeholder query-derived seed; requires PubMed/DOI confirmation before high-confidence scoring,seed_needs_verification
LIT0004,protein_stabilization,trehalose,sugar_glass;preferential_hydration;reduced_molecular_mobility,protein functionality,mechanistic literature,High pressure dynamics of hydrated protein in bio-protective trehalose environment,https://arxiv.org/abs/1409.3487,Supports trehalose as protein bioprotective environment; use as mechanistic seed not final curated clinical evidence,seed
LIT0005,protein_stabilization,trehalose_glycerol,hydrogen_bonding;glass_dynamics,protein functionality,mechanistic simulation,Molecular packing hydrogen bonding and fast dynamics in lysozyme trehalose glycerol glasses,https://arxiv.org/abs/1710.00181,Supports descriptor fields for sugar/polyol glass dynamics and protein fast motion,seed
LIT0006,protein_stabilization,sucrose_trehalose,water_dynamics_reduction;osmolyte_effect,protein functionality,mechanistic literature,Retardation of Bulk Water Dynamics by Disaccharide Osmolytes,https://arxiv.org/abs/1607.06369,Supports sugar osmolyte mechanism; requires peer-reviewed bibliographic validation,seed
LIT0007,cryopreservation,trehalose_sucrose_glycerol_PEG,vitrification;ice_crystal_reduction,cell and biomolecule preservation,physical chemistry,Effects of cryoprotectant concentration and cooling rate on vitrification of aqueous solutions,https://arxiv.org/abs/physics/0604109,Useful for vitrification descriptor and concentration/cooling-rate dependence,seed
LIT0008,nucleic_acid_preservation,EDTA,metal_chelation;nuclease_inhibition,nucleic acid amplifiability,protocol/common molecular biology reference,TE buffer and EDTA-mediated nuclease inhibition,https://en.wikipedia.org/wiki/TE_buffer,Use only as low-confidence placeholder; replace with primary molecular biology/protocol references,low_confidence_replace
LIT0009,formulation_science,sugars_and_polymers,preferential_interaction;macromolecule_stability,protein and formulation stability,computational/mechanistic,Thermodynamic Basis of Sugar-Dependent Polymer Stabilization,https://arxiv.org/abs/2509.04301,Recent mechanistic seed for sugar-polymer formulation interactions; verify publication status,seed_needs_verification
LIT0010,extracellular_vesicles,EV aggregation,aggregation;size_instability,EV size distribution,methodological seed,Size stability and self-agglomeration of erythrocyte-derived membrane nanovesicles versus physiological extracellular vesicles,https://arxiv.org/abs/2312.03554,Useful for aggregation-risk descriptor and DLS/AFM validation logic,seed
